Milliseconds,X,Y,Z,ground truth
3,-0.55073214,0.15967223,-0.8758278,sb
21,-0.5376883,0.21030864,-1.1179519,sb
41,-0.5376883,0.21030864,-1.1179519,sb
60,-0.5376883,0.21030864,-1.1179519,sb
80,-0.5376883,0.21030864,-1.1179519,sb
100,-0.5376883,0.21030864,-1.1179519,sb
120,-0.5376883,0.21030864,-1.1179519,sb
140,-0.5376883,0.21030864,-1.1179519,sb
161,-0.5376883,0.21030864,-1.1179519,sb
180,-0.5376883,0.21030864,-1.1179519,sb
200,-0.5376883,0.21030864,-1.1179519,sb
220,-0.5376883,0.21030864,-1.1179519,sb
240,-0.5376883,0.21030864,-1.1179519,sb
260,-0.5376883,0.21030864,-1.1179519,sb
280,-0.5376883,0.21030864,-1.1179519,sb
300,-0.5376883,0.21030864,-1.1179519,sb
321,-0.5376883,0.21030864,-1.1179519,sb
340,-0.5376883,0.21030864,-1.1179519,sb
360,0.45344907,-0.20488818,0.13159819,sb
380,0.21588364,-0.3895531,0.03424435,sb
401,0.028505286,-0.64781916,-0.26062912,sb
420,0.32709593,-0.7983631,-0.022445869,sb
440,0.37148714,-0.8044914,-0.15566127,sb
460,0.2190768,-0.7292911,-0.412119,sb
480,0.2644189,-0.5822719,-0.9601831,sb
500,0.21891376,-0.7195096,-0.99874693,sb
521,0.5337114,-1.0143707,0.37935248,sb
540,0.61487234,-1.1227,1.6995728,sb
560,0.55715936,-0.7922668,1.7192453,sb
580,0.114816576,-0.515053,1.4485327,sb
600,0.69904363,-0.3676963,0.36509275,sb
621,0.67023176,-0.38502005,-0.16271536,sb
640,0.9899416,-0.43431628,0.81795496,sb
660,1.0997143,-0.17375962,0.5971701,sb
681,0.9454043,0.10245438,0.18042652,sb
701,1.1271546,-0.2297523,0.41846344,sb
720,0.9929802,-0.47132286,0.43378323,sb
740,0.8071132,-0.68705,0.16122317,sb
761,0.49332675,-0.75426126,-0.12843257,sb
780,0.047160152,-0.9214282,-1.0826546,sb
800,-0.14239788,-0.9525121,-1.3783351,sb
820,-0.22608788,-0.96131796,-1.3317138,sb
840,0.3369536,-1.2562457,0.5125199,sb
860,0.031748835,-1.4696773,1.5425229,sb
881,-0.50097805,-0.9703083,0.04131527,sb
900,0.06415969,-0.4817621,-1.0179659,sb
920,1.2589549,-0.28049892,-0.31739682,sb
940,0.898444,-0.5891844,1.3095871,sb
960,0.20037566,-0.44700357,0.83819413,sb
981,0.32293585,-0.20151915,-0.08114619,sb
1000,0.7148496,-0.029524144,-0.4038152,sb
1020,0.69902116,-0.14776693,-0.11119686,sb
1040,0.9836976,-0.503116,1.0259875,sb
1060,1.0735205,-0.5566799,1.0710164,sb
1080,0.6334649,-0.5366584,-0.32579935,sb
1101,0.49949336,-0.31031492,0.08780621,sb
1120,0.61046237,-0.1284603,1.2111624,sb
1140,0.24563201,-0.29898515,2.1097386,sb
1160,0.18950057,-0.20732512,2.2846272,sb
1181,0.23269284,0.35119358,0.3442779,sb
1200,0.2809877,0.36093217,-0.4079698,sb
1220,0.2232583,0.37026557,-0.60929465,sb
1240,0.14800455,0.0802956,-0.049396206,sb
1260,0.21243611,-0.16863063,0.5102813,sb
1281,0.09277223,-0.667612,0.20196277,sb
1300,-0.065232225,-0.97954196,-0.9261007,sb
1320,-0.33889726,-0.8271242,-2.792252,sb
1340,-0.45126265,-1.205679,-2.534796,sb
1360,-0.3850126,-1.6373727,-0.035623513,sb
1381,-0.35998774,-1.6445447,0.6003809,sb
1400,-0.5434346,-1.44393,-1.2793964,sb
1420,-0.20415395,-1.0397544,-1.2523751,sb
1440,0.32846403,-1.1635895,0.46968538,sb
1460,0.70639074,-0.83902293,1.9323301,sb
1481,1.1513094,-0.6596343,1.2592567,sb
1500,1.3425993,-0.11996097,0.82018465,sb
1520,1.5074462,0.39096314,0.4032995,sb
1540,1.4538559,0.6756227,1.202695,sb
1561,1.5232056,0.5128077,2.6541622,sb
1580,1.1910952,0.5779641,3.026186,sb
1601,1.0305132,0.6620757,0.6875052,sb
1620,0.9436647,0.57774574,-0.5125713,sb
1640,0.9997497,0.24189886,-1.1137879,sb
1661,0.8824539,-0.3199054,0.69849527,sb
1680,0.3791192,-0.82343024,1.7721742,sb
1701,-0.49338007,-1.0230312,0.7411893,sb
1721,-0.5915702,-0.8963862,-1.416478,sb
1740,0.042928968,-0.5400489,-2.799484,sb
1760,0.57134974,-0.633437,-1.9650745,sb
1780,0.85716516,-1.0703115,0.38799068,sb
1800,0.49689698,-1.3562652,0.5429748,sb
1820,0.2110841,-1.260867,0.88301927,sb
1840,0.046792027,-0.9939273,0.028274095,sb
1861,0.2783321,-0.75517017,-1.0741601,sb
1880,0.7129909,-0.6004249,-0.7731429,sb
1900,1.0865825,-0.6618802,-0.4314372,sb
1920,1.4009957,-0.49847522,0.73163825,sb
1941,1.1806902,-0.47119075,1.147753,sb
1960,1.1682951,-0.21257608,1.9997337,sb
1980,0.6559054,0.0398426,2.0031934,sb
2000,0.26696196,0.30610132,1.4345167,sb
2021,0.60145766,0.3940569,1.1031255,sb
2040,0.93408215,0.5939414,0.49326387,sb
2061,1.2042314,0.5385682,-0.18330577,sb
2080,1.1543417,0.2682434,0.60595113,sb
2100,0.5477043,-0.033347383,0.77960503,sb
2120,-0.0046814317,-0.058696482,-0.72804976,sb
2141,-0.008779229,-0.13124079,-0.9954217,sb
2160,0.3895879,-0.31471366,-0.7090344,sb
2180,0.78620803,-0.47152498,-0.6078327,sb
2200,0.97180337,-0.5972179,0.2214993,sb
2221,0.46455812,-0.81932414,1.217855,sb
2240,0.24565373,-0.8345331,0.91228855,sb
2260,0.3280283,-0.69575274,-0.51660293,sb
2281,0.39789376,-0.449884,-1.0921905,sb
2300,0.75916713,-0.35297814,-0.6890606,sb
2320,1.0353262,-0.5585475,-0.17608184,sb
2340,0.673263,-0.8856941,0.57651895,sb
2361,0.53669864,-0.99304456,0.34238854,sb
2380,0.42473376,-0.982736,0.14940317,sb
2400,0.17287315,-1.0196791,0.0025077858,sb
2420,0.29781637,-1.0229723,-0.85908145,sb
2441,0.5009484,-1.107736,-0.66539216,sb
2460,0.5198399,-1.306082,-0.72782063,sb
2480,0.5750327,-1.6274219,-0.72681594,sb
2501,0.49600124,-1.7324413,0.39341435,sb
2520,0.96693575,-1.7700498,3.410345,sb
2540,0.7305161,-1.8380485,5.337629,sb
2561,0.06502542,-1.387875,4.617173,sb
2580,-0.4499002,0.6636921,0.81442434,sb
2600,1.2518804,2.980846,-1.905995,sb
2620,4.0920086,4.0157304,4.2486086,sb
2641,5.7051063,1.8514218,14.1907425,sb
2660,4.1833663,3.926499,11.592761,sb
2680,2.318727,3.7248087,8.037269,sb
2701,-0.7099136,2.7382898,4.1760635,sb
2720,-1.7934762,2.2285779,-0.05476589,sb
2740,-2.5822847,1.5582539,-2.2756784,sb
2761,-1.4182628,0.7100535,-3.9458187,sb
2780,-0.021061916,0.016510047,-5.699381,sb
2800,-0.9162028,-0.24171236,-6.8109393,sb
2821,-0.9728627,-0.4761192,-6.559709,sb
2840,-0.7693132,-0.8159526,-5.8677373,sb
2860,-0.9914852,-1.1169463,-5.746382,sb
2881,-1.1040497,-1.7544234,-5.607484,sb
2900,-1.0979874,-2.0334132,-5.235069,sb
2920,-0.89474875,-2.4423614,-5.9876895,sb
2940,-0.6599478,-2.563364,-6.422745,sb
2961,-0.6927388,-2.8793163,-7.0769653,sb
2980,-0.90021515,-3.084451,-7.244793,sb
3001,-1.3551893,-3.2035832,-6.955853,no
3020,-0.79529023,-2.907474,-6.0132847,no
3040,-0.28465974,-2.503198,-5.1803484,no
3061,-0.33126646,-2.351818,-3.442507,no
3081,-0.33889365,-2.0984952,-1.5032893,no
3100,-0.5364815,-1.5343387,-0.20439725,no
3121,-0.19359358,-0.60286963,0.30781016,no
3140,0.47117683,0.014165306,1.0035394,no
3160,1.11482,0.3079362,1.5670797,no
3180,1.2358731,0.8448234,1.3996533,no
3201,1.3463509,0.7684394,0.17443502,no
3220,1.4735217,0.5003442,2.0814428,no
3240,0.8568594,-0.16858636,4.872114,no
3260,-1.7137259,-1.56179,9.783705,no
3281,-2.2806377,-1.2492826,9.7122555,no
3300,-0.110226706,0.22677402,5.6341963,no
3320,2.0831125,1.9789095,1.5312728,no
3340,3.158359,4.14795,-1.1094198,no
3361,4.3182435,5.019749,1.5344093,no
3380,4.3572245,4.290921,7.848936,no
3401,1.4724385,3.0833085,10.572134,no
3420,-1.8777888,2.5914717,7.972856,no
3441,-2.1045249,2.5971014,4.730104,no
3460,-1.5982637,2.467741,1.7885206,no
3481,-0.90284044,1.6867085,-0.5735715,no
3500,0.4625118,0.8501098,-2.5277896,no
3520,1.2295479,0.10606038,-4.4616666,no
3541,1.6197745,-1.3453659,-4.3493905,no
3561,0.8612332,-2.384623,-3.958489,no
3580,0.42715576,-3.4368582,-4.165271,no
3600,-0.16608919,-2.5201564,-3.4946194,no
3621,-0.22019213,-3.0995526,-1.6545044,no
3640,-0.14107044,-2.8544362,-1.9018348,no
3660,0.092317924,-2.4832969,-2.062085,no
3681,0.37253943,-1.7136526,-1.4487045,no
3700,1.0434068,-0.85971683,-1.0295349,no
3720,0.5801323,-0.37080216,0.662094,no
3741,0.32131886,-0.44623154,1.2794316,no
3760,0.48818523,0.07380106,0.49699393,no
3780,0.8897447,0.35949433,-0.31018642,no
3801,0.8484087,0.43682763,0.022490354,no
3820,1.0449089,0.3994851,-0.69553846,no
3840,1.5161134,0.3263347,-0.0073303846,no
3860,1.3776971,-0.30838048,2.9994678,no
3881,0.07665922,-0.7890165,4.272947,no
3900,-1.4090582,-1.0254309,3.8784263,no
3920,-1.5955371,-0.85628325,3.5559216,no
3940,-1.3356878,-0.33704475,2.5374773,no
3961,-0.5509096,-0.25994593,0.4534997,no
3981,0.022783112,0.06576371,-1.0417889,no
4000,0.98965466,0.407966,-1.8038158,no
4020,1.6374367,0.56098026,-0.69758356,no
4040,1.3695943,0.4284133,0.053437438,no
4061,0.38823083,0.10650843,-0.09794921,no
