Milliseconds,X,Y,Z,,ground truth
1,-0.7683786,-0.1317091,0.35221958,,
21,0.058116585,-0.035411835,-0.6086011,,
40,-0.013257474,0.12873554,-1.0722966,,
60,-0.3230128,0.23814869,-1.0582976,,
82,-0.4606059,0.21665478,-0.46345568,,
100,-0.43014488,-0.04966736,0.018579483,,
120,-0.53954446,-0.29061413,0.8589034,,
141,-0.39580482,-0.5024376,1.4705687,,
160,-0.11737545,-0.5815449,1.3812385,,
180,-0.009119317,-0.6020212,0.6243229,,
201,-0.030567437,-0.65516376,-0.45936155,,
220,-0.024078578,-0.60518837,-1.0777812,,
240,-0.26930285,-0.54673576,-1.2479806,,
261,-0.4717878,-0.43591404,-0.7180953,,
280,-0.5271711,-0.29702187,-0.2591219,,
300,-0.49566928,-0.309371,0.14412308,,
321,-0.46145734,-0.2761774,0.5529375,,
340,-0.43956274,-0.31022835,0.79425144,,
360,-0.44244608,-0.33649254,0.77234936,,
381,-0.27571085,-0.31660748,0.22204018,,
400,-0.12658946,-0.13490295,-0.45192432,,
421,-0.3734945,0.104397774,-0.6260772,,
441,-0.2486441,0.11385727,-0.13505793,,
460,-0.07200718,-0.030931473,0.49417686,,
481,-0.17868464,-0.14049816,1.0378838,,
500,-0.18797047,-0.3932104,1.54881,,
521,-0.07464853,-0.54431534,1.391818,,
540,0.12900633,-0.44225025,-0.19723606,,
560,0.17645624,-0.3189602,-1.5069952,,
581,-0.20847033,0.10013294,-2.0040574,,
600,-0.19941822,0.286973,-1.7638516,,
620,-0.18197453,0.42123127,-1.2690291,,
641,-0.30949125,0.3333788,-1.2540269,,
660,-0.4217787,0.23232079,-0.51421356,,
680,-0.58699286,0.3683052,-0.47454453,,
700,-0.43528444,0.5196171,-0.9026933,,
720,-0.442567,0.7513647,-1.3972116,,
741,-0.5711877,0.92897224,-1.6836905,,
760,-0.92600286,0.94685555,-1.1293454,,
781,-0.94662446,0.8351574,-0.6004319,,
800,-0.8156028,0.6815376,-0.46997023,,
822,-0.7648171,0.59480286,-0.8488231,,
841,-0.8975028,0.6312523,-0.5603833,,
860,-0.500052,0.5296645,-0.20230246,,
880,-0.44928855,0.42179966,0.049117565,,
901,-0.40124476,0.3356452,0.38022327,,
920,-0.37328792,0.15830278,0.6098118,,
940,-0.46800095,-0.035708904,0.59416056,,
961,-0.54015577,-0.22443771,0.28763628,,
980,-0.5833746,-0.11722183,-0.07097387,,
1000,-0.2213246,-0.039326668,-0.5276499,,
1021,-0.0019171536,0.029456615,-0.6041603,,
1040,-0.037308633,-0.076505184,-0.7372165,,
1060,-0.27778497,-0.028375149,-0.7832961,,
1081,-0.5647936,0.03433752,-1.1733084,,
1100,-0.72822785,0.030972004,-1.6108813,,
1121,-0.7911192,0.005091667,-1.848753,,
1140,-1.0275211,0.20142221,-0.7769027,,
1161,-0.82975084,0.49883604,-0.6068883,,
1181,-0.43461233,0.6592994,-1.141181,,
1200,-0.23498762,0.64821625,-1.0874267,,
1221,-0.57746506,0.538919,0.05326748,,
1241,-0.9247917,0.43291187,0.92674303,,
1260,-0.7497645,0.4551258,0.8492522,,
1281,-0.34229323,0.33658266,0.60184526,,
1300,-0.3740121,0.23344707,-0.06522608,,
1320,-0.34911332,0.2736535,-0.5779829,,
1341,0.19570594,0.025551796,-0.24893427,,
1360,-0.014966667,-0.06665039,0.0034308434,,
1381,-0.3853401,-0.15893126,-0.049827576,,
1400,-0.5428548,-0.001745224,-0.84466505,,
1420,-0.31184405,0.18294048,-1.5718718,,
1441,-0.095654815,0.3461318,-1.3816357,,
1460,-0.23312348,0.45980072,-0.47003174,,
1480,-0.24823847,0.44728565,0.34586,,
1500,-0.11227521,0.2629676,-0.0635066,,
1520,-0.31239226,-0.024355412,-0.26347828,,
1541,-0.35737613,-0.19081402,-0.23002148,,
1560,-0.2499567,-0.24930239,-0.42338943,,
1580,-0.21450105,-0.10516596,-0.67820454,,
1600,-0.14699346,0.03960371,-0.720304,,
1621,0.08555737,0.119718075,-0.5568905,,
1640,0.13162225,0.07097721,0.27166462,,
1660,0.057099015,0.03140354,1.2382345,,
1681,0.18045092,-0.1345725,1.6944189,,
1700,0.20457774,-0.15182114,0.75484896,,
1720,0.24464467,-0.024793625,-0.4359846,,
1741,0.26850006,-0.051033974,-1.0861549,,
1760,-0.07840797,0.11720133,-1.5369363,,
1780,-0.13823107,0.17199183,-1.8334842,,
1801,-0.047287434,0.21107817,-1.8069453,,
1820,0.07880774,0.01992035,-0.86944056,,
1840,0.07832077,-0.039655685,0.45422745,,
1861,-0.058927447,-0.1486454,1.6109724,,
1880,0.0656406,-0.055936337,0.6752553,,
1901,0.36629695,0.20320368,-0.79557085,,
1920,0.24340534,0.30265284,-1.4478393,,
1941,-0.09451297,0.26507568,-1.2145538,,
1960,-0.3416028,0.23406935,-0.070346355,,
