Milliseconds,X,Y,Z,ground truth
4,0.037144423,-0.5885715,-0.106963806,sb
21,0.015306502,-0.6444979,-0.07660376,sb
42,0.015306502,-0.6444979,-0.07660376,sb
61,0.015306502,-0.6444979,-0.07660376,sb
81,0.015306502,-0.6444979,-0.07660376,sb
101,0.015306502,-0.6444979,-0.07660376,sb
121,0.015306502,-0.6444979,-0.07660376,sb
141,0.015306502,-0.6444979,-0.07660376,sb
161,0.015306502,-0.6444979,-0.07660376,sb
181,0.015306502,-0.6444979,-0.07660376,sb
202,0.015306502,-0.6444979,-0.07660376,sb
221,0.015306502,-0.6444979,-0.07660376,sb
241,0.015306502,-0.6444979,-0.07660376,sb
261,0.015306502,-0.6444979,-0.07660376,sb
281,0.015306502,-0.6444979,-0.07660376,sb
301,0.015306502,-0.6444979,-0.07660376,sb
322,0.015306502,-0.6444979,-0.07660376,sb
341,0.015306502,-0.6444979,-0.07660376,sb
361,-0.069914654,0.19759364,-0.035058457,sb
382,-0.06458833,0.20931156,-0.0137531655,sb
402,-0.065120965,0.13793884,0.07999011,sb
421,-0.0049335235,0.13793884,0.11248068,sb
442,0.11224557,0.19279996,0.16148283,sb
461,0.18894461,0.10065459,0.19823445,sb
481,0.042470746,-0.08310353,0.21314816,sb
501,-0.18602848,-0.17950997,0.24350819,sb
521,-0.34954658,-0.03197084,0.25895452,sb
541,-0.16206002,0.30678326,0.2653461,sb
561,0.11863715,0.46870345,0.293043,sb
582,0.38122484,0.16616835,0.39637366,sb
602,0.37270272,-0.2594048,0.27120507,sb
621,0.10958241,-0.42878187,0.17959233,sb
641,0.111180305,0.022890283,0.15029755,sb
662,0.17829196,0.38827598,0.106089085,sb
681,0.20758674,0.31051168,0.050695334,sb
701,0.22303307,-0.023981353,-0.076071136,sb
721,0.30133,-0.054874025,-0.0920501,sb
741,0.35991955,0.19226733,-0.111757495,sb
761,0.47869655,0.32063168,-0.15756387,sb
782,0.45952177,0.38401493,-0.13199753,sb
801,0.32370055,0.2726948,-0.088854305,sb
821,0.17083511,0.05111979,-0.03825425,sb
841,-0.014520903,-0.11985515,-0.08459325,sb
862,0.31198266,0.23221475,-0.029199501,sb
881,0.3721701,0.2663032,0.10182803,sb
901,0.26457837,0.10278512,0.2072892,sb
921,-0.06884939,-0.26153535,-0.012687901,sb
942,-0.051272526,-0.2524806,-0.124540664,sb
961,-0.005998788,0.059641905,-0.03931951,sb
981,-0.024108285,0.23754106,0.020867929,sb
1001,-0.15300529,0.10811144,-0.03133003,sb
1022,-0.3005444,-0.04581928,-0.07021218,sb
1041,-0.28350016,-5.46E-04,-0.11335539,sb
1061,-0.23716117,0.16510308,-0.16235757,sb
1081,-0.35860133,0.23328,-0.17247757,sb
1102,-0.44542038,0.10811144,-0.17514074,sb
1121,-0.39695084,-0.09961513,-0.23639344,sb
1141,-0.24355276,0.046326097,-0.22467554,sb
1161,-0.11518839,0.16297255,-0.09258273,sb
1181,9.25E-04,0.21836631,-0.111757495,sb
1202,-0.0326304,0.20238733,-0.15277018,sb
1221,-0.08323046,0.105448276,-0.1447807,sb
1241,-0.039021984,0.013302901,-0.16075966,sb
1261,0.080287635,-0.004273962,-0.18845654,sb
1281,0.25072995,0.14592832,-0.20177235,sb
1301,0.3093195,0.32169697,-0.18898918,sb
1321,0.0946687,0.40212443,-0.18313022,sb
1342,-0.13223262,0.14805885,-0.15703124,sb
1361,-0.05926201,-0.12092042,-0.11335539,sb
1381,0.14633404,0.033010293,-0.051570054,sb
1401,0.08454869,0.27429268,0.036846895,sb
1421,-0.13542841,-0.12624675,0.10395856,sb
1441,-0.11944945,-0.32598382,0.09703434,sb
1462,-0.07044729,-0.2343711,0.078392215,sb
1481,-0.13436316,0.15924412,0.089044854,sb
1501,-0.23130222,0.29027167,0.0698701,sb
1521,-0.39854875,0.15018938,-4.37E-04,sb
1541,-0.5018794,-0.01599187,-0.049972158,sb
1561,-0.3452855,0.030879766,-0.09844169,sb
1582,-0.018781962,0.16030939,-0.06967954,sb
1601,0.0994624,0.097458795,-0.05210269,sb
1621,0.02489388,-0.016524503,-0.07447324,sb
1641,-0.19561586,-0.15500888,-0.13519332,sb
1662,-0.27444544,-0.12890992,-0.19804393,sb
1681,-0.10400312,0.14006937,-0.19804393,sb
1701,0.23421834,0.28388005,-0.08938694,sb
1721,0.23794678,0.15924412,0.03844479,sb
1741,0.05046023,-0.06286351,0.03791216,sb
1762,-0.12157998,-0.32012486,-0.036656354,sb
1781,-0.16791898,-0.3685944,-0.11921434,sb
1802,-0.13702631,0.001584992,-0.13945438,sb
1821,-0.008129316,0.35258964,-0.103768006,sb
1842,0.05046023,0.29826114,-0.056363743,sb
1861,-0.0097272135,-0.0069371234,-0.03186266,sb
1881,-0.058729377,-0.1337036,-0.029199501,sb
1902,-0.15194002,-0.20773947,-0.0920501,sb
1921,-0.17324531,-0.29615644,-0.16555336,sb
1941,-0.21212746,-0.21839212,-0.19218497,sb
1961,-0.22544326,0.06496823,-0.19165233,sb
1982,-0.13755895,0.21943156,-0.17354284,sb
