Milliseconds,X,Y,Z
5,0.45418227,0.08209419,1.0599194
23,0.76841426,-0.59347534,0.3862276
43,0.7230546,0.24925709,-0.057665825
64,1.2729315,-0.33581495,0.44644737
84,0.57477754,-0.067531586,0.9923725
103,-0.12049943,0.35973167,0.12816143
123,1.1223828,0.35998678,-0.25006485
145,1.5206478,0.38407755,-0.31040096
163,1.7170742,-0.4585309,-0.57600117
183,-0.023841947,-1.3162751,-3.9957285
204,-1.247159,-1.1679797,-2.2085176
223,-1.1892527,-2.6623864,-4.763834
243,-4.248397,-0.7636442,0.9104481
263,-1.8806115,-0.9215212,0.952641
284,0.7454878,-0.81784964,1.6911926
303,0.41321564,-0.64351416,3.096097
323,-1.0024616,-0.545526,2.061532
344,-2.3345573,-0.6205373,0.10311556
363,-0.09209561,-1.1294575,-1.0365915
384,1.0361731,1.0092764,0.93614674
403,2.0122182,1.5413532,2.870861
423,2.9358146,2.463616,0.9813585
443,0.795887,0.632669,-1.6107721
463,0.17700124,0.031042099,-1.1113763
483,0.10869837,-0.9843998,-1.0652099
503,0.5606823,-1.2285819,-2.4072127
524,0.59100246,-1.2253127,-1.580481
543,1.4075694,-0.36881256,-4.199845
563,1.056277,0.11383104,-4.305064
584,-0.18349051,-0.21009779,-4.2854843
603,-1.3655024,-0.77698183,-4.001328
623,-1.8920302,-1.2649713,-1.8164186
644,-1.6442924,-2.4830744,1.6564817
665,-2.0105016,-3.8688962,4.5989695
684,-1.5643977,-1.6530223,2.6229992
703,-0.35489833,-0.80661607,-0.3694973
723,-0.9717494,-0.421499,1.9987974
743,-1.2724714,1.1658854,4.23693
764,-1.0002207,0.6069186,1.8108034
784,-0.9851744,-0.9213623,-1.0439548
804,-0.6328782,-0.093588114,-2.1414013
823,-1.5562363,0.20475185,-1.0945301
843,-0.6592034,-0.24609578,0.61635876
863,-0.6133075,0.48610985,1.9496593
884,-1.0976951,0.7560911,4.463711
903,1.1129744,-1.4983563,-0.7597656
924,0.26901412,-0.9638816,-3.6821003
943,0.23546648,-1.9235098,-2.2945433
964,-0.6874819,-0.7203698,-1.9302168
983,0.0885973,-0.86708105,-2.1665783
1003,0.9790735,-0.6888975,0.98501396
1023,0.16900396,-0.29572105,2.8006763
1043,-1.2392168,-0.45197022,0.041512966
1063,-2.283445,-0.5820304,-2.709875
1083,-3.0752378,-0.9174316,-1.7425303
1103,1.6299796,-1.8062578,-0.8546467
1123,1.329773,-0.70500755,-1.9774528
1143,4.7289634,-3.113913,0.40798473
1164,0.6356039,-0.9966547,0.25214863
1183,-2.3325176,-0.9172514,-1.2226949
1203,-3.815814,-1.2631108,1.4275675
1224,-3.2610621,-1.0777913,3.8760376
1243,-2.8318253,-0.42358512,4.185112
1263,-1.9993372,1.1289304,2.0473604
1284,-0.38550997,-1.2087579,1.2552724
1303,-3.554665,0.4386282,2.1410456
1323,-2.1305876,2.2651997,-1.0803437
1344,-1.0220032,1.2114304,-3.401369
1363,0.06989002,-0.3546579,-1.7863016
1383,3.2479053,-1.6071634,1.0617566
1404,3.5716758,-1.5363643,4.037272
1423,3.0252247,-1.1346076,3.2904706
1443,2.803258,-1.5103879,2.1295633
1463,3.2301674,-2.0991352,1.9322758
1484,3.1646543,-1.4629531,0.8746939
1503,3.043046,-1.3491869,1.3717504
1523,2.7405095,-1.0348616,2.3836517
1544,2.179253,-0.88743734,2.1712918
1563,0.85618305,-1.2923713,1.9544702
1583,0.23510265,-0.9272175,1.8419371
1604,0.8911238,-1.024075,1.6084237
1623,1.1386256,-0.27727318,0.52906823
1644,-0.6083746,0.5548899,-0.09435201
1663,-0.50658226,0.31014848,0.1180017
1683,-0.32289028,0.14334321,0.37281013
1704,0.14353943,0.06569004,0.572433
1723,-0.009413719,0.29122376,1.1242666
1743,-0.6110134,0.0630703,-0.2743547
1763,-5.339115,-0.57193017,-11.066134
1784,-0.46572685,-1.9902887,6.543366
1803,-1.0593624,0.4155767,2.4305487
1823,-0.2500639,-0.7040117,-3.614706
1844,-0.9128237,-1.2228277,2.5692494
1863,-1.0951757,-0.8328848,0.8802235
1883,-0.48742485,-0.20069623,-0.51434886
1904,-0.17954063,-0.3357234,-0.46140265
1923,0.14160919,-0.45748067,-0.4533633
1943,0.42317963,-0.28424692,-0.142254
1964,0.32468033,-0.4957161,0.33054173
1983,-0.10433102,-0.26202178,0.06412709
2003,0.39408302,-0.08049917,0.21871507
2024,0.123924255,-0.24331403,0.18473387
2043,-1.0813513,-0.6144619,0.22124755
2064,-0.89785576,-0.75393224,4.850626E-4
2083,-0.17150974,-0.8524256,-0.42781138
2103,0.6640291,-0.7406199,-0.17233658
2124,0.77270794,-1.0706353,0.21199644
2143,0.3479395,-0.43255687,0.5137938
2164,-0.18831825,-0.5601628,0.007932305
2183,-0.23948574,-0.5999861,0.24889207
2204,-0.4680748,-0.8763535,-0.28853762
2223,0.46654224,-0.6650667,-1.3588386
2244,0.9999962,-1.0888357,-0.5543133
2263,1.089509,-1.3507128,0.8456086
2283,1.5760574,-1.1159673,1.6205444
2303,0.21097946,-1.150949,1.3567592
2323,-1.6495466,-1.740969,1.6382296
2344,-1.1118622,-3.0478387,-1.3467877
2363,-0.35369873,-0.89780974,-1.2063204
2384,-1.0640354,-0.79048586,-0.44569874
2403,0.86228657,-1.1125066,3.7045245
2423,1.0996904,2.3283777,-5.1647897
2444,0.6295967,1.3732228,-0.7281885
2463,2.0806751,0.23350954,1.040796
2484,1.67626,-0.17001915,1.4246151
2503,1.3383117,-4.6054153,4.521229
2524,-2.0538754,3.9863095,-1.456521
2543,-0.67666864,-0.21886492,-1.903658
2563,-2.972556,-1.1174159,0.14940524
2583,-2.701047,-1.6858592,-2.798242
2604,-1.4072633,-2.7967358,-0.044218063
2623,-1.2035599,-3.1549044,0.09275997
2643,-1.2449789,-3.1199913,-0.54139066
