time,gFx,gFy,gFz,ax,ay,az,wx,wy,wz,,ground truth
0.002,-0.0329,0.3582,0.9719,-0.3696,0.0312,-0.0554,0.012,-0.0952,-0.274,,no
0.02,-0.0312,0.3646,1.0199,-0.3696,0.0312,-0.0554,0.012,-0.0952,-0.274,,no
0.035,-0.0182,0.3626,0.9677,-0.3696,0.0312,-0.0554,0.012,-0.0952,-0.274,,no
0.054,-0.0211,0.3647,0.9192,-0.3696,0.0312,-0.0554,0.012,-0.0952,-0.274,,no
0.074,-0.0222,0.3684,0.8903,-0.3696,0.0312,-0.0554,0.012,-0.0952,-0.274,,no
0.097,-0.0163,0.3701,0.8718,-0.3696,0.0312,-0.0554,0.012,-0.0952,-0.274,,no
0.114,-0.0124,0.3718,0.8699,-0.3696,0.0312,-0.0554,0.012,-0.0952,-0.274,,no
0.134,-0.0067,0.3656,0.9,-0.3696,0.0312,-0.0554,0.012,-0.0952,-0.274,,no
0.14,-0.0067,0.3656,0.9,-0.3696,0.0312,-0.0554,0.012,-0.0952,-0.274,,no
0.154,0.0047,0.3622,0.9426,-0.3696,0.0312,-0.0554,0.012,-0.0952,-0.274,,no
0.154,0.0047,0.3622,0.9426,-0.3696,0.0312,-0.0554,0.0209,-0.1234,-0.1309,,no
0.154,0.0047,0.3622,0.9426,-0.1767,0.0557,0.1137,0.0209,-0.1234,-0.1309,,no
0.173,0.0157,0.3631,0.9276,-0.1767,0.0557,0.1137,0.0209,-0.1234,-0.1309,,no
0.195,0.0131,0.3646,0.8859,-0.1767,0.0557,0.1137,0.0209,-0.1234,-0.1309,,no
0.213,0.0026,0.3672,0.8762,-0.1767,0.0557,0.1137,0.0209,-0.1234,-0.1309,,no
0.233,-0.004,0.3628,0.9061,-0.1767,0.0557,0.1137,0.0209,-0.1234,-0.1309,,no
0.251,-0.004,0.3628,0.9061,-0.1767,0.0557,0.1137,0.0209,-0.1234,-0.1309,,no
0.253,-0.0129,0.3596,0.9204,-0.1767,0.0557,0.1137,0.0209,-0.1234,-0.1309,,no
0.273,-0.0006,0.3684,0.8979,-0.1767,0.0557,0.1137,0.0209,-0.1234,-0.1309,,no
0.293,0.0102,0.3785,0.8576,-0.1767,0.0557,0.1137,0.0209,-0.1234,-0.1309,,no
0.316,0.0015,0.3807,0.8378,-0.1767,0.0557,0.1137,0.0209,-0.1234,-0.1309,,no
0.333,-0.0025,0.3736,0.875,-0.1767,0.0557,0.1137,0.0209,-0.1234,-0.1309,,no
0.342,-0.0025,0.3736,0.875,-0.1767,0.0557,0.1137,0.0209,-0.1234,-0.1309,,no
0.353,-0.0025,0.3736,0.875,0.0987,0.0758,-0.2007,0.0209,-0.1234,-0.1309,,no
0.354,-0.0008,0.3626,0.9404,0.0987,0.0758,-0.2007,0.0209,-0.1234,-0.1309,,no
0.355,-0.0008,0.3626,0.9404,0.0987,0.0758,-0.2007,0.002,-0.0462,-0.192,,no
0.373,-0.0044,0.3526,0.9875,0.0987,0.0758,-0.2007,0.002,-0.0462,-0.192,,no
0.393,-0.015,0.349,0.9734,0.0987,0.0758,-0.2007,0.002,-0.0462,-0.192,,no
0.416,-0.0323,0.3506,0.9364,0.0987,0.0758,-0.2007,0.002,-0.0462,-0.192,,no
0.433,-0.0432,0.352,0.9129,0.0987,0.0758,-0.2007,0.002,-0.0462,-0.192,,no
0.452,-0.026,0.3446,0.8952,0.0987,0.0758,-0.2007,0.002,-0.0462,-0.192,,no
0.452,-0.026,0.3446,0.8952,0.0987,0.0758,-0.2007,0.002,-0.0462,-0.192,,no
0.472,-0.0193,0.3474,0.8822,0.0987,0.0758,-0.2007,0.002,-0.0462,-0.192,,no
0.492,-0.02,0.3496,0.9125,0.0987,0.0758,-0.2007,0.002,-0.0462,-0.192,,no
0.512,-0.0279,0.3514,0.9489,0.0987,0.0758,-0.2007,0.002,-0.0462,-0.192,,no
0.533,-0.0272,0.3592,0.9467,0.0987,0.0758,-0.2007,0.002,-0.0462,-0.192,,no
0.543,-0.0272,0.3592,0.9467,0.0987,0.0758,-0.2007,0.002,-0.0462,-0.192,,no
0.552,-0.0139,0.3637,0.9299,0.0987,0.0758,-0.2007,0.002,-0.0462,-0.192,,no
0.553,-0.0139,0.3637,0.9299,-0.3176,-0.0493,0.1713,0.002,-0.0462,-0.192,,no
0.553,-0.0139,0.3637,0.9299,-0.3176,-0.0493,0.1713,-0.017,-0.2105,-0.2689,,no
0.573,-0.0005,0.3716,0.9259,-0.3176,-0.0493,0.1713,-0.017,-0.2105,-0.2689,,no
0.591,0.0038,0.3744,0.9054,-0.3176,-0.0493,0.1713,-0.017,-0.2105,-0.2689,,no
0.611,-0.0094,0.3725,0.8941,-0.3176,-0.0493,0.1713,-0.017,-0.2105,-0.2689,,no
0.631,-0.0084,0.3651,0.9027,-0.3176,-0.0493,0.1713,-0.017,-0.2105,-0.2689,,no
0.651,-0.0107,0.3648,0.9148,-0.3176,-0.0493,0.1713,-0.017,-0.2105,-0.2689,,no
0.654,-0.0107,0.3648,0.9148,-0.3176,-0.0493,0.1713,-0.017,-0.2105,-0.2689,,no
0.671,-0.021,0.3625,0.9243,-0.3176,-0.0493,0.1713,-0.017,-0.2105,-0.2689,,no
0.69,-0.0306,0.3597,0.9151,-0.3176,-0.0493,0.1713,-0.017,-0.2105,-0.2689,,no
0.71,-0.0373,0.3593,0.9129,-0.3176,-0.0493,0.1713,-0.017,-0.2105,-0.2689,,no
0.732,-0.0366,0.363,0.9183,-0.3176,-0.0493,0.1713,-0.017,-0.2105,-0.2689,,no
0.745,-0.0366,0.363,0.9183,-0.3176,-0.0493,0.1713,-0.017,-0.2105,-0.2689,,no
